x_mm,y_mm,r_mm,ekin_MeV
8.50263,5.61192,0.617523,5.47387
-2.09597,-3.44102,0.6181,5.45092
0.985079,-6.16587,0.619823,5.45072
6.13083,-4.78835,0.620979,5.45024
1.38968,4.80619,0.621852,5.45799
-0.445876,2.94536,0.624786,5.45595
2.4254,-8.14631,0.624795,5.4074
-10.2891,-3.7101,0.625074,5.41489
-1.29897,-6.92737,0.625114,5.47382
8.22397,-0.116534,0.625302,5.46384
8.49474,-7.01161,0.625433,5.46895
6.59684,-5.76493,0.6256,5.47614
4.59454,0.656703,0.625965,5.49934
4.73205,2.7975,0.626082,5.44257
15.0127,10.0295,0.627144,5.48559
0.961229,8.46337,0.628666,5.42781
-4.03738,-5.6869,0.629046,5.43521
-8.17644,7.12818,0.630177,5.4789
-7.02941,-0.0832106,0.630571,5.44915
3.2327,6.28136,0.635166,5.47195
-1.62236,4.31202,0.635418,5.48702
-3.58195,-8.6495,0.637178,5.44863
-2.19116,-2.38158,0.63834,5.4833
-1.47598,-2.61654,0.638356,5.46338
1.18245,-5.66091,0.638428,5.44415
-0.701905,6.78422,0.640151,5.50921
2.25352,4.50601,0.640204,5.45488
-2.49225,1.44769,0.642119,5.46095
-3.763,0.640196,0.642137,5.43479
-3.45097,7.98478,0.644,5.46935
-4.65428,-1.54775,0.645662,5.43831
-0.212382,6.92886,0.645673,5.41279
-5.18532,18.3001,0.645912,5.42379
-9.72823,-1.22076,0.64783,5.45126
3.79118,3.42058,0.648105,5.46521
-1.01025,-0.522053,0.652553,5.47304
8.27599,1.62546,0.652834,5.46493
1.50137,-4.83156,0.652855,5.44716
-2.43574,2.66079,0.654546,5.43999
2.96286,6.84348,0.654815,5.46487
11.7235,1.40354,0.655983,5.43374
0.663659,-8.28701,0.658058,5.4444
6.81418,-1.52431,0.659091,5.45528
-6.74642,3.60516,0.660143,5.49139
-5.60144,-1.12608,0.660906,5.43995
-8.2286,-5.5994,0.661162,5.44839
3.56598,-5.36755,0.661748,5.44607
-3.55282,-6.12093,0.666982,5.4669
-1.1213,-7.37243,0.667197,5.46865
1.30302,-2.67567,0.667764,5.43235
8.37774,5.71546,0.667819,5.46137
2.09601,6.33186,0.669066,5.4549
1.20628,10.7887,0.670268,5.42717
6.35374,0.969353,0.670966,5.48389
-0.205235,4.4324,0.673855,5.42329
-12.0809,-1.33476,0.675869,5.47125
-3.67889,4.45616,0.67623,5.44019
6.49841,-9.885,0.676515,5.41768
4.41162,5.66475,0.676647,5.38596
-2.57513,-4.04263,0.676915,5.47388
3.54644,-3.02176,0.681421,5.4231
-0.259342,-10.5227,0.683233,5.47474
-6.70272,0.283442,0.685101,5.39791
-3.80974,-7.68968,0.685177,5.4169
-1.29813,-10.0552,0.685435,5.44503
0.448695,8.4116,0.686043,5.41778
-0.615639,-8.66542,0.686079,5.4461
6.83022,7.1185,0.686859,5.47725
